mean_discrepancy,count_order,fromDistrict,to_district
1029.852156,1341,Bình Thạnh,Gò Vấp
1059.576295,2317,Bình Thạnh,Quận 1
2292.354558,1691,Bình Thạnh,Quận 2
1367.292234,1164,Bình Thạnh,Thủ Đức
1291.297887,1640,Quận 1,Bình Thạnh
1099.744053,1492,Quận 1,Quận 4
1174.435854,1557,Quận 10,Tân Bình
1032.54361,1066,Quận 4,Quận 1
1866.673192,1304,Quận 4,Quận 7
1047.87428,1389,Quận 5,Quận 8
1390.757197,1245,Quận 7,Nhà Bè
1014.400844,2264,Gò Vấp,Bình Thạnh
1474.238827,2329,Gò Vấp,Quận 12
1036.612651,1023,Gò Vấp,Tân Bình
1163.026155,2252,Phú Nhuận,Bình Thạnh
1021.712389,1324,Phú Nhuận,Quận 3